연도,월,일,기온 (°C),강수량 (mm),점심 피크타임 손님 수,저녁 피크타임 손님 수,대인 손님 수,소인 손님 수,테이블 회전률,광어 초밥 판매량,엔가와 초밥 판매량,연어 초밥 판매량,연어롤 판매량,연어 사시미 판매량,장어 초밥 판매량,장어덮밥 판매량,장어롤 판매량,광어 소비량(g),연어 소비량(g),장어 소비량(g)
2019,1,1,-2.2,0.0,51,68,92,27,3.0,40,24,45,29,27,18,15,9,2850,2637,255
2019,1,2,3.1,0.8,60,80,100,40,3.2,47,28,54,35,32,21,18,10,2672,3276,320
2019,1,3,4.6,0.0,60,80,99,41,3.1,47,28,54,35,32,21,18,10,2746,3651,442
2019,1,4,-1.7,0.0,60,80,101,39,3.4,47,28,54,35,32,21,18,10,2923,3607,469
2019,1,5,-3.0,0.0,102,170,195,77,3.7,93,56,105,68,64,45,38,22,5247,6649,1357
2019,1,6,-1.2,0.4,120,200,252,68,4.4,164,99,186,121,113,81,67,40,8115,7791,1558
2019,1,7,2.9,0.0,60,80,102,38,3.2,71,43,81,52,48,32,27,16,3553,3404,351
2019,1,8,-2.6,1.0,51,68,90,29,3.3,40,24,45,29,27,18,15,9,3144,2682,280
2019,1,9,-0.3,0.0,60,80,110,30,3.2,47,28,54,35,32,21,18,10,3450,3578,492
2019,1,10,3.8,0.0,60,80,100,40,2.6,47,28,54,35,32,21,18,10,3366,3753,542
2019,1,11,1.1,5.9,60,80,108,32,2.9,47,28,54,35,32,21,18,10,3127,3817,436
2019,1,12,-2.5,0.0,102,170,199,73,3.7,93,56,105,68,64,45,38,22,5058,5997,1651
2019,1,13,-3.5,0.0,102,170,214,58,3.5,93,56,105,68,64,45,38,22,5663,7456,1607
2019,1,14,-2.0,0.0,60,80,108,32,3.1,47,28,54,35,32,21,18,10,3286,3192,479
2019,1,15,-2.4,0.0,51,68,90,29,3.4,40,24,45,29,27,18,15,9,3030,2726,437
2019,1,16,3.1,0.0,60,80,109,31,3.2,47,28,54,35,32,21,18,10,3045,4120,374
2019,1,17,2.1,5.8,60,80,106,34,3.0,47,28,54,35,32,21,18,10,3572,3081,501
2019,1,18,3.1,0.0,60,80,104,36,3.0,47,28,54,35,32,21,18,10,2761,3682,342
2019,1,19,-1.3,0.1,120,200,239,81,4.1,109,66,124,81,75,54,45,27,7643,8773,1768
2019,1,20,6.1,0.0,120,200,231,89,4.2,109,66,124,81,75,54,45,27,6181,8238,2281
2019,1,21,-0.6,0.0,60,80,107,33,3.5,47,28,54,35,32,21,18,10,3678,3325,547
2019,1,22,0.6,0.0,60,80,107,33,2.6,47,28,54,35,32,21,18,10,3587,3946,320
2019,1,23,-0.3,0.0,60,80,110,30,3.4,47,28,54,35,32,21,18,10,3044,3017,512
2019,1,24,-0.9,0.2,60,80,108,32,3.2,47,28,54,35,32,21,18,10,3524,3292,503
2019,1,25,-2.6,0.0,51,68,85,34,3.0,40,24,45,29,27,18,15,9,2512,3372,342
2019,1,26,-5.0,0.0,102,170,201,71,3.6,93,56,105,68,64,45,38,22,6687,6943,1107
2019,1,27,-4.3,0.0,102,170,209,63,3.6,93,56,105,68,64,45,38,22,5575,6162,1720
2019,1,28,4.6,0.0,60,80,102,38,2.8,47,28,54,35,32,21,18,10,3421,3100,504
2019,1,29,2.3,0.0,60,80,102,38,3.2,47,28,54,35,32,21,18,10,2929,3291,500
2019,1,30,1.5,0.0,60,80,108,32,3.3,47,28,54,35,32,21,18,10,3041,3998,546
2019,1,31,3.1,0.0,60,80,101,39,3.3,47,28,54,35,32,21,18,10,2818,3630,530
2019,2,1,3.2,6.3,60,80,111,29,3.3,50,30,57,37,34,22,19,11,3312,3635,321
2019,2,2,-2.0,0.0,102,170,192,80,3.8,98,59,111,72,67,48,40,24,5708,8083,1152
2019,2,3,-1.2,0.0,120,200,247,73,3.5,115,70,131,85,79,57,47,28,8108,7058,1662
2019,2,4,-3.0,0.0,51,68,90,29,3.4,42,25,48,31,29,19,16,9,2635,2833,299
2019,2,5,-4.6,0.0,51,68,86,33,2.7,42,25,48,31,29,19,16,9,2729,2434,257
2019,2,6,1.5,0.0,60,80,100,40,3.5,75,45,85,55,51,34,28,17,2890,3825,351
2019,2,7,5.7,0.0,60,80,111,29,2.6,75,45,85,55,51,34,28,17,3390,3530,543
2019,2,8,6.0,0.0,60,80,99,41,3.2,50,30,57,37,34,22,19,11,3189,2897,407
